t,S,I,R
0,99.0,1.0,0.0
1,98.901,1.089,0.01
2,98.79329681099999,1.1858131889999999,0.02089
3,98.6761464166567,1.2911054514532752,0.03274813189
4,98.54874510608975,1.4055957075056895,0.045659186404532745
5,98.41022541298857,1.5300594435318247,0.059715143479589644
6,98.25965191825533,1.6653323438297452,0.0750157379149079
7,98.09601694182241,1.8123139968243707,0.09166906135320535
8,97.91823615728603,1.9719716413925121,0.10979220132144905
9,97.72514417240869,2.14534390985593,0.12951191773537418
10,97.51549012951862,2.333544513647441,0.15096535683393347
11,97.28793339253124,2.5377658054983456,0.17430080197040787
12,97.04103940188007,2.7592821380945285,0.19967846002539133
13,96.77327579519634,2.9994529233973184,0.22727128140633662
14,96.4830089102057,3.259725279153982,0.2572658106403098
15,96.16850080705227,3.541636129515879,0.2898630634318496
16,95.82790697007263,3.8468136052003534,0.3252794247270084
17,95.45927487378229,4.176977565438699,0.36374756077901194
18,95.06054362422147,4.533939039345148,0.40551733643339893
19,94.62954491438224,4.919598358790926,0.4508567268268504
20,94.16400556052831,5.335941729056944,0.5000527104147596
21,93.66155191388273,5.785035958411948,0.5534121277053291
22,93.11971646814025,6.269021044570308,0.6112624872894485
23,92.53594700593706,6.790100296327797,0.6739526977351517
24,91.90761864475108,7.350527654550505,0.7418537006984296
25,91.23204915223896,7.952591870517125,0.8153589772439347
26,90.50651789982024,8.598597204230668,0.8948848959491059
27,89.7282888080422,9.290840323966409,0.9808708679914127
28,88.89463760418393,10.031583124585007,1.0737792712310767
29,88.0028836577277,10.823021239795388,1.1740951024769268
30,87.05042657873686,11.667248106388264,1.2823253148748808
31,86.0347876540758,12.566214549985439,1.3989977959387634
32,84.95365605365225,13.521684004909138,1.5246599414386177
33,83.80493956143303,14.535183657079271,1.6598767814877091
34,82.58681937353717,15.607952008404336,1.8052286180585018
35,81.29780826022824,16.740883601629218,1.9613081381425452
36,79.9368111150762,17.934471910764977,2.1287169741588374
37,78.50318662149674,19.188751685236788,2.3080616932664872
38,76.99680846691703,20.503242322964123,2.499949210118855
39,75.41812424482498,21.87689412182654,2.7049816333484964
40,73.76820992585418,23.30803949957907,2.923750574566762
41,72.04881757508913,24.794351455348327,3.1568309695625523
42,70.26241387019009,26.33281164569388,3.4047744841160354
43,68.41220695997458,27.91969043945245,3.668102600572974
44,66.50215931937234,29.55054117566017,3.9472995049674986
45,64.53698452213492,31.220210561141,4.242804916724101
46,62.52212627637277,32.92286670129174,4.555007022335511
47,60.46371864709442,34.65204566355717,4.8842356893484284
48,58.368527107546825,36.400716746469186,5.230756145984
49,56.243870885396404,38.161365801154915,5.594763313448692
50,54.09752795446587,39.926095074073906,5.976376971460241
51,51.93762491008349,41.686737167715535,6.375637922200981
52,49.77251479134144,43.43497991478043,6.792505293878136
53,47.61064661107142,45.16249829590265,7.22685509302594
54,45.46043086463208,46.86108905938296,7.678480075984967
55,43.33010556520663,48.522803468214576,8.147090966578796
56,41.22760736860912,50.14007363012994,8.632319001260942
57,39.16045209955297,51.705828162884785,9.133719737562242
58,37.1356284925126,53.213593488296304,9.65077801919109
59,35.15950825397964,54.6575777919463,10.182913954074053
60,33.237774696461166,56.03273557154532,10.729489731993516
61,31.37537125590776,57.33481165638327,11.289817087708968
62,29.576470254301185,58.56036454142601,11.863165204272802
63,27.844461374360666,59.70676977595227,12.448768849687061
64,26.181958529546318,60.772204923007095,13.045836547446584
65,24.590823180503058,61.75561822282029,13.653558596676655
66,23.072201692383032,62.65668352871211,14.271114778904858
67,21.626574052632773,63.47574433317524,14.89768161419198
68,20.253811167265372,64.21374977521089,15.532439057523732
69,18.95323800497622,64.87218543974794,16.17457655527584
70,17.723700034433726,65.45300155589295,16.82329840967332
71,16.563630668503755,65.95854090626399,17.47782842523225
72,15.471117757499002,66.39146840820611,18.13741383429489
73,14.44396753166237,66.75470394996069,18.801328518376952
74,13.479764755223403,67.05135968690004,19.468875557876558
75,12.575928200126121,67.28468264512833,20.139389154745558
76,11.729760862212716,67.45800315659045,20.812235981196842
77,10.938494616943519,67.57468937029374,21.48681601276275
78,10.19932924102493,67.63810785250939,22.162562906465684
79,9.509465909797232,67.651590105212,22.838943984990777
80,8.866135419948144,67.61840469400896,23.515459886042898
81,8.266621487050203,67.54173457996681,24.191643932982988
82,7.708279532698808,67.42465918851853,24.867061278782657
83,7.188551412276757,67.2701407170554,25.541307870667843
84,6.704976547221112,67.08101417494049,26.214009277838397
85,6.255199920414329,66.85998065999787,26.884819419587803
86,5.836977374711006,66.60960339910122,27.55341922618778
87,5.448178626731979,66.33230611308923,28.21951526017879
88,5.086788374304803,66.03037330438552,28.882838321309684
89,4.750905839029048,65.70595210661742,29.543142054353538
90,4.438743047506756,65.36105537707353,30.20020157541971
91,4.148622117374067,64.99756575343548,30.853812129190448
92,3.8789717785138897,64.6172404347613,31.503787786724804
93,3.628323326462004,64.22171648246558,32.14996019107242
