t,S,I
0,105.04274171121551,1.3213930644524803
1,88.1904631465589,3.036070875549571
2,87.99536718337623,-4.957753798953308
3,103.98169021214837,7.724947710552458
4,101.57221400524028,-2.9686575841790783
5,97.29152858646218,-3.9955435481958443
6,108.16338511583427,-11.030465668624021
7,94.5876755456514,1.0468484405849114
8,100.90732772584083,4.3120064866054655
9,100.98029942970986,-2.8506034702239904
10,100.22000231285048,6.761069481318891
11,102.9605017490606,-0.3629760711076191
12,94.41393075195765,6.544462684767426
13,103.96939109679792,-0.9009086758073046
14,97.19439763353643,-0.33266728305007254
15,94.31638551041809,7.07629305289773
16,104.40474310470121,2.0651448532271157
17,95.33917423294224,-1.12508938651909
18,93.21586458271175,1.9508135427807392
19,100.7497585748741,-0.4954505438910539
20,96.5766460371109,3.3420310638914947
21,92.02614540144248,2.500608606513909
22,103.912469666709,4.891129764094676
23,88.74105026221677,2.6807098676397403
24,95.20826963983343,-1.9294429897621552
25,96.0067810256546,-1.8408334801100494
26,102.02438329300182,1.6856323291427473
27,98.14381701361106,4.297362794410546
28,93.81285303835173,10.38223470596968
29,102.23125334870254,1.6697441567877216
30,88.86481289669865,-3.6060452137670325
31,91.22496888141792,9.21056852011817
32,93.2670437012051,5.699954399061802
33,93.05472392643435,2.732028781966247
34,97.10214885654406,-4.7674227668998235
35,85.45780363853555,7.184121757737771
36,88.71926648189745,12.903115491895148
37,79.90682511308931,6.607556198546144
38,85.60175283468068,6.677563175802219
39,99.03216910343433,6.911545895937017
40,93.80192352414818,14.97835952918518
41,89.10846790283405,8.025710399457017
42,82.24688151036621,16.193784110104552
43,86.02938938126579,9.362830493946376
44,86.08528947945997,10.281148988160863
45,81.18212786137482,22.863543043105906
46,83.80706118368032,14.24248389871356
47,87.9765905361639,9.401107989200503
48,89.33783095453329,20.85193118774684
49,87.86417152969115,18.091471135777248
50,87.90385218008072,20.14195235654266
51,78.28669697616075,13.111842335790527
52,82.22330786506808,7.12408500512832
53,84.14851453297011,19.170282981089485
54,85.65975918181003,7.519805748075717
55,79.64143286930948,14.018120243329108
56,80.99958911510112,25.141001753721685
57,75.89373473527698,26.81326954909277
58,72.8494967865536,20.117765056908716
59,71.58213428485752,27.409950179054594
60,86.64321258823566,29.361499347300843
61,77.72974999859812,21.96197424980845
62,77.3084030508093,30.26795263166995
63,73.33351291569211,22.358372827474337
64,76.13278443632677,25.128951054334046
65,77.87945247165032,28.58146563176272
66,62.98989228336409,40.065610277684556
67,85.19258503924281,31.311370106447303
68,65.33125272998888,33.010206769099774
69,67.90633968001326,33.051292123995445
70,71.78238470026659,25.541165641930405
71,68.71214400112173,31.56874777931549
72,70.48659561683384,36.4807157367406
73,71.6205535711741,30.637333659214715
74,57.453411489091664,28.60453018407229
75,54.331507275321385,38.216731570270575
76,65.74988146269958,29.48495482728604
77,60.92656858169695,37.57318320611167
78,59.18220340193676,30.267736363972066
79,62.417388037337595,39.98672936832854
80,60.71892132665463,40.847559770895366
81,53.443104735039434,40.946925440648904
82,66.41101359009554,38.31114735081586
83,56.59629796295853,46.167894716469824
84,58.113130727891516,44.38447075635249
85,50.269698631558676,42.74327685299361
86,54.10313195575106,32.538405254824596
87,44.58054514392241,43.164832811050886
88,45.23583804283529,55.874185747523654
89,56.9351700510209,43.09912674369788
90,54.92635899754107,50.970089153828134
91,50.296045342303316,54.548361182064845
92,49.375129257267815,45.08350851760774
93,54.29693843343958,47.620599893278694
94,53.428160639639806,52.511121624580824
95,48.184147857278774,45.246179777549756
96,53.999844291984644,54.695527607537194
97,47.100820967841464,40.26520927847739
98,44.547308944040395,46.50908971270819
99,48.94508492432917,54.499300108491184
100,47.55933819060224,41.84131757463163
101,48.09481349016795,56.75016275195501
102,49.77052745269019,49.81626883879366
103,42.83249623759557,60.9753929776961
104,46.36752419585491,48.293747150432736
105,53.44547470491088,51.571616130349405
106,54.682058244777394,43.80512665996429
107,50.88985670664353,49.6308079748229
108,40.8502867549014,60.941488941030634
109,51.45750626452233,57.33258692104495
110,41.745925560666606,55.7880087843654
111,52.65090640523999,56.67043003083297
112,44.61265636566593,49.83307924859397
113,32.58338587374729,60.10939408405252
114,45.40746277641545,55.782804062027395
115,41.01252592605695,50.16965983642621
116,36.71104113513758,60.507441029907426
117,43.714863982514586,55.09336589739623
118,41.29402732467885,54.69500294762147
119,42.48126070973788,57.59053222523169
120,45.70712845152052,54.035206440942794
121,37.855714847066366,58.82948102103794
122,32.86016892948692,53.04137657862469
123,35.17878982840691,60.39896240492832
124,43.28650390664551,58.37653440054333
125,49.174879838662676,57.73505370280081
126,53.34860796558717,61.51933108622044
127,37.830802469166315,61.81242691178298
128,48.407372889540646,62.057545909525544
129,45.40483990210957,67.91446654603936
130,47.93394211652096,58.80275004772882
131,43.148475018482976,52.0351668743943
132,41.24376708960165,51.96594193335457
133,42.6584145474732,54.03487057309657
134,40.26964848610236,54.40976027846962
135,33.29113940705079,61.34908191332605
136,42.53499743445003,67.47342940735646
137,33.80200783983706,61.233828082763125
138,47.775532790213425,62.88349690479579
139,43.19918067652396,57.92014701271378
140,44.353201916079,52.98119245373569
141,39.20920409650439,59.518299008559076
142,40.866624219846756,64.16420369003085
143,40.66150892554308,61.453710013798506
144,39.70069338787654,58.33845303110144
145,33.040219802543646,66.24609506611843
146,46.81256364542127,53.218544239128256
147,33.69360041876793,58.537316907734194
148,35.60102504956253,67.71265671674374
149,37.93770860848711,57.2856853627809
150,43.320138176023725,57.24211956106397
151,40.398365669806246,58.39049885196459
152,41.32071072115832,63.631765731062615
153,34.635658820916,56.2128684830415
154,39.78030251109253,65.54617977210248
155,26.46705646098989,56.82030948599051
156,41.22289519678556,61.99870016608111
157,40.254558664530734,62.402140873020976
158,38.492829309056624,66.53686886024228
159,38.82155738754871,68.22863582799745
160,38.31704650544927,64.99744094508051
161,35.95576392937218,55.252801108139835
162,41.109825072654814,53.314194540916816
163,48.29758038868084,61.811783098860104
164,33.075494640575315,60.627050489020974
165,39.99899825815568,56.80031136145414
166,38.64973646960144,62.62930801764732
167,39.13097276203595,67.68940962229352
168,39.3130922273225,63.621973419137504
169,34.48949429800317,57.6858614543932
