t,S,I,R
112,46752468.335956946,1758.0,33734.6640430533
113,46752504.335956946,1648.0,33808.6640430533
114,46752395.09956707,1594.1181949372035,33971.782237990505
115,46751967.09956707,1739.1181949372035,34254.782237990505
116,46752071.09956707,1635.1181949372035,34254.782237990505
117,46752067.09956707,1637.1181949372035,34256.782237990505
118,46752209.09956707,1493.1181949372035,34258.782237990505
119,46752270.09956707,1428.1181949372035,34262.782237990505
120,46752376.09956707,1320.1181949372035,34264.782237990505
121,46752428.09956707,1268.1181949372035,34264.782237990505
122,46753116.09956707,580.1181949372034,34264.782237990505
123,46753164.09956707,531.1181949372034,34265.782237990505
124,46753228.09956707,462.1181949372034,34270.782237990505
125,46753389.21776201,300.0,34271.782237990505
126,46753670.21776201,18.0,34272.782237990505
127,46753668.21776201,19.0,34273.782237990505
128,46753670.21776201,17.0,34273.782237990505
129,46753672.21776201,15.0,34273.782237990505
130,46753676.21776201,11.0,34273.782237990505
131,46753678.21776201,9.0,34273.782237990505
132,46753678.21776201,9.0,34273.782237990505
133,46753678.21776201,9.0,34273.782237990505
134,46753679.21776201,8.0,34273.782237990505
135,46753684.21776201,3.0,34273.782237990505
136,46753685.21776201,2.0,34273.782237990505
137,46753686.21776201,1.0,34273.782237990505
138,46753687.21776201,0.0,34273.782237990505
139,46753360.98137213,163.1181949372034,34436.90043292771
140,46753346.98137213,170.1181949372034,34443.90043292771
141,46753344.98137213,171.1181949372034,34444.90043292771
142,46753342.98137213,172.1181949372034,34445.90043292771
143,46753340.98137213,173.1181949372034,34446.90043292771
144,46753336.98137213,175.1181949372034,34448.90043292771
145,46753330.98137213,178.1181949372034,34451.90043292771
146,46753314.98137213,186.1181949372034,34459.90043292771
147,46753308.98137213,189.1181949372034,34462.90043292771
148,46753304.98137213,191.1181949372034,34464.90043292771
149,46753298.98137213,194.1181949372034,34467.90043292771
150,46753444.09956707,40.0,34476.90043292771
151,46753433.09956707,42.0,34485.90043292771
152,46753426.09956707,45.0,34489.90043292771
153,46753393.09956707,61.0,34506.90043292771
154,46753394.09956707,60.0,34506.90043292771
155,46753396.09956707,58.0,34506.90043292771
156,46753393.09956707,58.0,34509.90043292771
157,46753393.09956707,54.0,34513.90043292771
158,46753388.09956707,55.0,34517.90043292771
159,46753380.09956707,58.0,34522.90043292771
160,46753379.09956707,57.0,34524.90043292771
161,46753388.09956707,48.0,34524.90043292771
162,46753397.09956707,39.0,34524.90043292771
163,46753395.09956707,38.0,34527.90043292771
164,46753406.09956707,24.0,34530.90043292771
165,46753398.09956707,28.0,34534.90043292771
166,46753392.09956707,31.0,34537.90043292771
167,46753387.09956707,32.0,34541.90043292771
168,46753391.09956707,28.0,34541.90043292771
169,46753395.09956707,24.0,34541.90043292771
170,46753396.09956707,21.0,34543.90043292771
171,46753394.09956707,21.0,34545.90043292771
172,46753390.09956707,23.0,34547.90043292771
173,46753384.09956707,26.0,34550.90043292771
174,46753381.09956707,26.0,34553.90043292771
175,46753384.09956707,23.0,34553.90043292771
176,46753388.09956707,19.0,34553.90043292771
177,46753387.09956707,18.0,34555.90043292771
178,46753387.09956707,16.0,34557.90043292771
179,46753377.09956707,21.0,34562.90043292771
180,46753373.09956707,23.0,34564.90043292771
181,46753371.09956707,23.0,34566.90043292771
182,46753373.09956707,21.0,34566.90043292771
183,46753375.09956707,19.0,34566.90043292771
184,46753324.09956707,43.0,34593.90043292771
185,46753275.09956707,66.0,34619.90043292771
186,46753273.09956707,67.0,34620.90043292771
187,46753271.09956707,68.0,34621.90043292771
188,46753267.09956707,69.0,34624.90043292771
189,46753269.09956707,67.0,34624.90043292771
190,46753274.09956707,62.0,34624.90043292771
191,46753130.09956707,133.0,34697.90043292771
192,46753122.09956707,136.0,34702.90043292771
193,46752795.863177195,299.1181949372034,34866.01862786491
194,46752743.863177195,325.1181949372034,34892.01862786491
195,46752746.863177195,310.1181949372034,34904.01862786491
196,46752772.863177195,284.1181949372034,34904.01862786491
197,46752773.863177195,283.1181949372034,34904.01862786491
198,46752716.863177195,311.1181949372034,34933.01862786491
199,46752671.863177195,332.1181949372034,34957.01862786491
200,46752417.863177195,459.1181949372034,35084.01862786491
201,46752385.863177195,475.1181949372034,35100.01862786491
202,46752408.863177195,427.1181949372034,35125.01862786491
203,46752413.863177195,422.1181949372034,35125.01862786491
204,46752576.98137213,259.0,35125.01862786491
205,46752534.98137213,267.0,35159.01862786491
206,46752442.98137213,307.0,35211.01862786491
207,46752348.98137213,354.0,35258.01862786491
208,46752298.98137213,379.0,35283.01862786491
209,46752297.98137213,365.0,35298.01862786491
210,46752321.98137213,341.0,35298.01862786491
211,46752448.98137213,214.0,35298.01862786491
212,46752298.98137213,281.0,35381.01862786491
213,46752207.98137213,314.0,35439.01862786491
214,46752123.98137213,356.0,35481.01862786491
215,46752043.98137213,396.0,35521.01862786491
216,46751709.98137213,546.0,35705.01862786491
217,46751761.98137213,494.0,35705.01862786491
218,46751808.98137213,447.0,35705.01862786491
219,46751637.98137213,520.0,35803.01862786491
220,46751496.98137213,583.0,35881.01862786491
221,46751428.98137213,617.0,35915.01862786491
222,46751286.98137213,688.0,35986.01862786491
223,46751273.98137213,653.0,36034.01862786491
224,46751331.98137213,595.0,36034.01862786491
225,46751373.98137213,553.0,36034.01862786491
226,46751211.98137213,614.0,36135.01862786491
227,46751083.98137213,586.0,36291.01862786491
228,46750605.98137213,825.0,36530.01862786491
229,46750281.98137213,987.0,36692.01862786491
230,46750199.98137213,979.0,36782.01862786491
231,46750277.98137213,901.0,36782.01862786491
232,46750311.98137213,867.0,36782.01862786491
233,46750046.98137213,964.0,36950.01862786491
234,46749612.98137213,1157.0,37191.01862786491
235,46749352.98137213,1287.0,37321.01862786491
236,46749184.98137213,1371.0,37405.01862786491
237,46749057.98137213,1384.0,37519.01862786491
238,46749213.98137213,1228.0,37519.01862786491
239,46749452.98137213,989.0,37519.01862786491
240,46749256.98137213,1006.0,37698.01862786491
241,46749346.98137213,916.0,37698.01862786491
242,46748586.98137213,1296.0,38078.01862786491
243,46748222.98137213,1478.0,38260.01862786491
244,46748164.98137213,1423.0,38373.01862786491
245,46748405.98137213,1182.0,38373.01862786491
246,46748535.98137213,1052.0,38373.01862786491
247,46748341.98137213,1107.0,38512.01862786491
248,46747933.98137213,1254.0,38773.01862786491
249,46747781.98137213,1330.0,38849.01862786491
250,46747529.98137213,1456.0,38975.01862786491
251,46747226.98137213,1518.0,39216.01862786491
252,46747226.98137213,1518.0,39216.01862786491
253,46747606.98137213,1138.0,39216.01862786491
254,46747398.98137213,1151.0,39411.01862786491
255,46747351.98137213,1118.0,39491.01862786491
256,46746933.98137213,1327.0,39700.01862786491
257,46746653.98137213,1467.0,39840.01862786491
258,46746348.98137213,1550.0,40062.01862786491
259,46746609.98137213,1289.0,40062.01862786491
260,46746685.98137213,1213.0,40062.01862786491
261,46746377.98137213,1304.0,40279.01862786491
262,46746182.98137213,1281.0,40497.01862786491
263,46745870.98137213,1437.0,40653.01862786491
264,46745560.98137213,1592.0,40808.01862786491
265,46745293.98137213,1628.0,41039.01862786491
266,46745373.98137213,1548.0,41039.01862786491
267,46745582.98137213,1339.0,41039.01862786491
268,46745164.98137213,1478.0,41318.01862786491
269,46744852.98137213,1523.0,41585.01862786491
270,46744516.98137213,1691.0,41753.01862786491
271,46744170.98137213,1864.0,41926.01862786491
272,46743909.98137213,1886.0,42165.01862786491
273,46744127.98137213,1668.0,42165.01862786491
274,46744283.98137213,1512.0,42165.01862786491
275,46743680.98137213,1736.0,42544.01862786491
276,46743435.98137213,1743.0,42782.01862786491
277,46740189.98137213,3366.0,44405.01862786491
278,46739453.98137213,3734.0,44773.01862786491
279,46739038.98137213,3802.0,45120.01862786491
280,46739305.98137213,3535.0,45120.01862786491
281,46739473.98137213,3367.0,45120.01862786491
282,46738622.98137213,3706.0,45632.01862786491
283,46738861.98137213,3467.0,45632.01862786491
284,46737341.98137213,4227.0,46392.01862786491
285,46736629.98137213,4583.0,46748.01862786491
286,46736392.98137213,4512.0,47056.01862786491
287,46736630.98137213,4274.0,47056.01862786491
288,46738253.98137213,2651.0,47056.01862786491
289,46737653.98137213,2767.0,47540.01862786491
290,46737130.98137213,2855.0,47975.01862786491
291,46736428.98137213,3206.0,48326.01862786491
292,46735924.98137213,3458.0,48578.01862786491
293,46735780.98137213,3274.0,48906.01862786491
294,46735780.98137213,3274.0,48906.01862786491
295,46736540.98137213,2514.0,48906.01862786491
296,46735872.98137213,2670.0,49418.01862786491
297,46735106.98137213,2899.0,49955.01862786491
298,46734368.98137213,3268.0,50324.01862786491
299,46733694.98137213,3605.0,50661.01862786491
300,46733590.98137213,3415.0,50955.01862786491
301,46734025.98137213,2980.0,50955.01862786491
302,46734376.98137213,2629.0,50955.01862786491
303,46733826.98137213,2778.0,51356.01862786491
304,46733270.98137213,2892.0,51798.01862786491
305,46732724.98137213,3165.0,52071.01862786491
306,46732216.98137213,3419.0,52325.01862786491
307,46732300.98137213,3121.0,52539.01862786491
308,46732837.98137213,2584.0,52539.01862786491
309,46733206.98137213,2215.0,52539.01862786491
310,46732755.98137213,2272.0,52933.01862786491
311,46733049.98137213,1978.0,52933.01862786491
312,46732303.98137213,2351.0,53306.01862786491
313,46731653.98137213,2676.0,53631.01862786491
314,46731494.98137213,2555.0,53911.01862786491
315,46731936.98137213,2113.0,53911.01862786491
316,46732209.98137213,1840.0,53911.01862786491
317,46731685.98137213,1975.0,54300.01862786491
318,46731123.98137213,2149.0,54688.01862786491
