S,I
99.0,1.0
98.901,1.099
98.792307801,1.2076921989999998
98.67299710154754,1.3270028984524744
98.5420577483948,1.4579422516052207
98.39838911884328,1.6016108811567271
98.24079318814225,1.7592068118577604
98.06796731556337,1.9320326844366496
97.87849679741343,2.121503202586583
97.67084725299337,2.329152747006656
97.44335693081159,2.5566430691884334
97.19422904767598,2.8057709523240475
96.92152430308047,3.078475696919547
96.62315374600504,3.3768462539949775
96.29687221122867,3.703127788771355
95.9402725877715,4.05972741222852
95.55078123321026,4.449218766789773
95.12565490416604,4.874345095833997
94.66197963469592,5.338020365304116
94.15667205958592,5.8433279404141265
93.60648374696373,6.3935162530363145
93.00800917173794,6.991990828262106
92.35769802465423,7.642301975345816
91.65187260660203,8.348127393398025
90.88675109823862,9.113248901761425
90.05847751360793,9.941522486392111
89.16315913431615,10.836840865683884
88.19691216769591,11.803087832304115
87.15591626684258,12.844083733157442
86.0364783804712,13.963521619528825
84.83510615453736,15.16489384546266
83.54859077533524,16.451409224664776
82.17409871834614,17.82590128165387
80.70927134668403,19.290728653315988
79.15233069332831,20.84766930667172
77.50218907818149,22.49781092181855
75.75855948227353,24.24144051772651
73.92206286887534,26.077937131124692
71.99432796077777,28.00567203922227
69.97807842322402,30.02192157677602
67.87720204070851,32.12279795929153
65.69679639351283,34.30320360648722
63.44318581053222,36.55681418946783
61.12390505526871,38.876094944731335
58.74764631894734,41.25235368105271
56.324167635068726,43.675832364931324
53.864162731345175,46.135837268654875
51.37909448495949,48.62090551504056
48.880996386557925,51.11900361344212
46.38224855564482,53.61775144435523
43.89533668115796,56.1046633188421
41.43260359539437,58.56739640460568
39.006003876548014,60.99399612345204
36.62687182731049,63.37312817268957
34.30571238443367,65.69428761556638
32.05202304819379,67.94797695180627
29.874152924856354,70.1258470751437
27.77920264534842,72.22079735465162
25.77296648042491,74.22703351957514
23.859915633583523,76.14008436641653
22.043219644266895,77.95678035573316
20.324801212125596,79.67519878787445
18.70541863522546,81.29458136477459
17.18476945802195,82.8152305419781
15.76160881354512,84.23839118645493
14.43387624458183,85.56612375541822
13.19882540356755,86.8011745964325
12.053151855244653,87.94684814475539
10.993115139365775,89.00688486063427
10.014652205896551,89.9853477941035
9.113480244111964,90.88651975588809
8.285187741860586,91.71481225813946
7.525313303592403,92.47468669640764
6.829412313550387,93.17058768644966
6.193111954743821,93.80688804525623
5.612155394953429,94.38784460504662
5.08243614363519,94.91756385636486
4.600023686425801,95.39997631357426
4.1611815356988995,95.83881846430117
3.7623788139020506,96.23762118609802
3.400296426851144,96.59970357314893
3.071828799956486,96.9281712000436
2.774082052137079,97.225917947863
2.50436937815536,97.49563062184473
2.260204306322066,97.73979569367803
2.0392923991961758,97.96070760080391
1.8395218727659775,98.1604781272341
1.658953526209764,98.34104647379031
1.4958103003909113,98.50418969960916
1.3484667188065755,98.65153328119348
1.215438409417647,98.78456159058241
1.0953718590029697,98.90462814099709
0.9870345126121683,99.01296548738789
0.8893052984800389,99.11069470152002
0.8011656325459396,99.19883436745411
0.7216909356621184,99.27830906433793
0.6500426799025234,99.34995732009753
0.5854609673979658,99.4145390326021
0.5272576352025158,99.47274236479754
0.4748098722961435,99.52519012770391
