t,S,I
0,94.26189613287963,3.4118008853484216
1,97.40232949422723,-1.356678067981919
2,91.30528185198717,5.446278863893511
3,98.71723245146497,2.2791170420099442
4,104.65534624778878,4.029436493810422
5,94.9930611756879,-1.6234028555046542
6,97.64708816508225,0.9832790343430599
7,101.39490664123018,5.509862451679183
8,102.13914807747967,0.5834642356308675
9,106.2107736457536,-0.5324042688401645
10,95.60026301397293,3.531540256297011
11,101.36859869754426,1.7883442078340124
12,100.20691570372362,-1.5565952068063122
13,94.75458079968368,11.969114844503565
14,98.92868828974522,5.47506092863204
15,94.14724497537276,-4.43303535210123
16,95.66732908085447,3.796288635671732
17,96.93320136841325,3.4867007778597197
18,83.66128142098788,5.564279509746559
19,102.0288543702648,10.494827391480055
20,93.4317160547437,5.9231122381931565
21,82.55157561633358,8.944521618858163
22,93.09625845146331,12.245529785941294
23,98.83787103066051,9.078229438790135
24,87.66655896049444,8.296438411313591
25,94.28536285915564,8.814969811753137
26,83.05963279186477,10.709444398888786
27,92.11322118416612,11.835694979593335
28,79.5864853875913,15.3630243716119
29,92.57499898599612,20.437455443097157
30,87.25251370858555,13.530888801408933
31,78.68718488184017,18.56509082155586
32,78.41789892864925,12.394282559909021
33,84.13100304425251,14.59082810594146
34,82.07171365585313,24.04898601790383
35,87.94922207644902,19.098521608758016
36,65.79558461073229,23.732796693598473
37,72.70385548230945,22.97000304822857
38,62.835503076046535,22.71663933289137
39,74.00239450589574,30.057276731561576
40,76.56794887791408,35.31632689772477
41,60.759204985090086,46.04231047307737
42,60.73956844114071,32.93603250195912
43,67.2201998556579,36.25234555036139
44,56.82392083379126,40.45657309963941
45,55.6890299458078,48.19445106814508
46,56.766124547026344,37.910165162917224
47,50.634541013244004,42.49526436122048
48,41.38967283502391,56.70659712467971
49,48.674865986793094,54.88132597040108
50,36.29623524259502,63.37918321907305
51,46.27622462705017,62.30996439500816
52,36.72990326789115,68.42479167051627
53,44.73517063464358,58.79671469037339
54,33.84630972712274,62.96162344339154
55,40.849666605797125,67.98273329386173
56,34.54942654858187,72.59804270957119
57,24.486930209701054,66.63535118666675
58,25.33187193994789,80.91145781270492
59,21.767039569965085,77.33767898715325
60,13.087411955000906,81.45125683178094
61,22.562196033937877,81.78899129342366
62,17.915867524889187,82.80263130763643
63,27.993394422873255,80.69110561703431
64,14.166064827139252,76.20621510945756
65,16.031248698998976,81.17441133526675
66,4.383040651620737,83.9447529076289
67,20.538742890876904,89.1573311586007
68,14.505530728697948,82.19980476317198
69,9.978622326440133,88.4237747571388
70,9.80798371168233,91.18335271367732
71,12.477295638606389,95.2665543136574
72,5.54843951279347,89.67771034599903
73,5.766799062516524,89.75796550319927
74,7.062325910200672,101.55191856096894
75,9.655788933861373,92.74549912745587
76,10.048036182471568,94.48534022270653
77,4.496835849991508,92.85953100785056
78,-2.076163317745362,102.45561181012098
79,1.0496583407560616,91.83192976060488
80,7.109278631359672,96.52485223261343
81,11.826426610160997,88.1047997863475
82,9.59165169687166,100.83265763760268
83,-4.5586265821789285,86.50196789284058
84,1.4629084696263905,98.305273872656
85,3.551428475346082,101.98244839923738
86,0.2342311443903735,91.74193387446677
87,-1.0208411568450084,93.64461572909724
88,5.79683099422382,95.19754252875802
89,3.959257515307237,100.81553950047922
90,-10.065318905084748,89.80753124989073
91,5.180255968057471,96.9285932873987
92,6.2851919750763665,100.74834851996714
93,2.9095765040480064,98.1080634880441
94,0.6253089330691526,96.81281214580325
95,3.994211534625287,101.91041960724475
96,6.0951249298772225,93.6157100611436
97,-0.7151378395606183,97.17748352307606
98,-5.036656636901608,94.85640132654774
99,6.930568900269756,97.56457790587902
