t,S,I,R
93,59227.68235136019,28966.005418785026,911828.9442626709
94,58700.985586468465,26585.086614355958,914716.5593841969
95,58235.0401014637,24382.62923535781,917373.1620038658
96,57807.18634857809,22372.468325074067,919818.2014422928
97,57416.15831947093,20527.715563916492,922053.6047936697
98,57069.9761057197,18827.730295991307,924107.5338266563
99,56743.48583518934,17273.564977328126,925995.4059894207
100,56466.51745207415,15835.424852220309,927708.8277243709
101,56177.7026309849,14517.494150757311,929295.8106840611
102,55936.81373487392,13324.25983644402,930763.2036692748
103,55716.07641954337,12201.936741276626,932073.6321984929
104,55509.331509817355,11189.155438368954,933305.8540189597
105,55316.921488564105,10255.562968946364,934424.7086288047
106,55151.31958449445,9394.788154893931,935446.393938169
107,54999.02140200943,8616.163031543794,936391.832774674
108,54858.25605868321,7899.504820077668,937253.6939931422
109,54732.04197786209,7240.662803589689,938037.2941696907
110,54604.3432583529,6632.224277592344,938756.5107301929
111,54501.285221551574,6078.324738883783,939422.8924381052
112,54393.07712579001,5568.854531269936,940031.6924443536
113,54312.37114229253,5104.206955018359,940596.0811554308
114,54225.691216057836,4667.914025081763,941097.8375528974
115,54150.3883241121,4290.630910012358,941568.9953092653
116,54076.30707375569,3919.8219030881737,941991.1588567445
117,54012.0654348649,3583.2534763787767,942376.865165745
118,53956.47999586857,3300.702594063133,942748.1631478887
119,53904.341774592795,3019.996123799045,943079.5974511246
120,53861.86887090505,2766.7815279859396,943372.3446271655
121,53807.839359533515,2530.2035302944837,943654.3518071697
122,53762.932824552,2322.5317717593703,943908.9918080796
123,53731.351094165046,2121.906716305866,944132.5473712534
124,53700.59554442207,1944.918968518254,944351.8045940727
125,53660.243135127166,1782.7554741342224,944557.3174647341
126,53632.425501014266,1634.9059450436282,944738.573265919
127,53617.91182775641,1498.0433012042126,944892.3694140909
128,53589.4107812337,1367.3514074880936,945041.1823979749
129,53561.91894634406,1261.2438837829643,945172.1368141304
130,53541.60438817103,1152.0721679099195,945305.8765703047
131,53528.696821097576,1062.7401652041076,945413.0105731884
132,53503.84737905308,967.5947285707183,945517.6524774553
133,53495.585917461045,890.4297735831703,945621.0795000939
134,53480.08496347781,816.387994585983,945709.9932038704
135,53472.2531454341,742.4248684235798,945791.9554451968
136,53453.02641004759,679.1645643064056,945856.4286906512
137,53434.3610525227,621.9966837313677,945930.617521428
138,53424.41126269277,573.6541338894529,945997.6095958863
139,53423.5452984953,519.4479520480445,946053.8219758492
140,53416.86174828168,481.91522198244604,946105.9291078978
141,53406.696869604624,434.949871456444,946154.3701718277
142,53394.61003903369,408.27384739221816,946193.2839759398
143,53386.52494430317,367.67362273996565,946237.243398285
144,53388.45335365363,341.84184089740677,946265.8632862759
145,53385.06252124162,313.9446728410344,946302.8372762061
146,53380.8210236497,278.8448416604589,946341.3285197892
147,53384.45006108248,258.8358466223803,946366.5589820945
148,53369.841666626235,241.9002524208492,946390.5194229864
149,53368.86699606121,221.23469666860709,946413.7782032707
150,53362.262225029124,190.74509141428902,946437.7418466575
151,53360.926117946445,175.97744508701632,946455.2004887438
152,53355.96351099334,165.54364592770554,946473.2345178982
153,53348.85627881885,146.68438820441008,946490.5610144917
154,53346.71008257434,152.49479783842955,946499.2704128376
155,53357.80333900012,125.7747193625964,946525.014093088
156,53349.80481085335,123.94179048119463,946532.1559305772
157,53338.51844952382,116.47757293891496,946541.2649608724
158,53344.468727770385,98.54761611669997,946559.5684824745
159,53345.40038814156,87.95109206943046,946574.2284495116
160,53350.623695837225,96.91885889878517,946574.9995980832
161,53351.146940053935,70.46660095750016,946580.0391530892
162,53336.8962584463,67.45858159700066,946594.6019617533
163,53341.88712599632,62.84436977173587,946597.0608866567
164,53336.611148924094,51.40745332682628,946610.5144746561
165,53335.39981222638,60.193185164116414,946608.1016231444
166,53331.61078677141,49.11073598182129,946613.5266446759
167,53340.375853707395,49.6649182695096,946619.0070633683
168,53328.424614004995,48.81691586261904,946620.3557052965
169,53335.22556591203,35.59250484347424,946628.5736226343
170,53329.3057058136,33.895373516773844,946637.7243869925
171,53320.1113238464,32.89210641835423,946637.2418631813
172,53324.93652887563,29.583229785189985,946636.9797832932
173,53328.34823317445,31.799354041397507,946631.5814726716
174,53326.76195209807,19.358666916500898,946646.8133555026
175,53325.53638610273,23.980678619307092,946653.071098271
176,53333.12140698245,24.664331101866647,946646.6547021974
177,53330.14592052786,20.52814204652541,946653.7246514506
178,53339.600053970695,13.78114900099449,946656.6924029221
179,53326.751214811935,15.40864849702417,946663.4291043958
180,53333.58351371351,16.35010921456803,946661.3465829864
181,53320.83152943708,17.532593140524078,946661.0954147059
182,53339.475915888535,9.229878729628087,946663.8946736321
183,53329.27667565219,3.89914905711386,946666.0975186556
184,53321.48521441015,17.074970550523126,946665.1019449652
185,53331.380865022045,3.038756623012153,946658.5517134678
186,53327.98257528377,2.87201187338958,946664.9364382208
187,53319.828625376074,13.028704029258906,946660.5464654475
188,53322.53872164313,8.476855534700459,946661.9411349508
189,53334.789656202054,-0.5434243943801658,946659.9223274079
190,53332.59942215892,8.650532988235048,946671.356030901
191,53323.05708935261,5.075873248891333,946664.3056184017
192,53329.18429630102,-7.20216936446366,946671.6143845761
193,53318.126021286495,6.8683042255927855,946678.6987974091
194,53323.16454425704,12.505318518209751,946678.6313506197
195,53323.89309497486,1.950596445283134,946671.4834750597
196,53327.99479101653,8.078764522283233,946673.5614782461
197,53328.543012364666,-6.50357345490732,946666.5607399527
198,53333.77509664972,4.836509311320269,946670.4047484243
199,53328.985563560906,13.552254852437711,946674.7674135705
200,53325.17327975319,9.952579202910801,946666.5332614701
201,53331.93284692105,-5.391302866859158,946675.1407970336
202,53320.35927163579,9.087370852247815,946675.4997799349
203,53325.55594754036,-6.110257956179438,946671.5244046251
204,53320.029276745874,9.027613945047042,946678.1925279255
205,53320.697768974365,5.989448629364034,946672.004613592
206,53318.97651434564,7.825308629749942,946678.0276361302
207,53318.97865117934,3.8573776933279387,946674.7413237487
208,53321.48632132905,-0.4378475741845964,946679.3030209556
209,53326.28554560196,0.6147467761577676,946674.2781527505
210,53330.05019254454,-2.0937312466058264,946673.0656995666
211,53329.95478123468,8.105092169672997,946674.9039381958
212,53325.69214254493,8.192379468013515,946678.041297619
213,53334.56312414503,-1.712590509244602,946674.8877785435
214,53324.713189515336,4.730007975576663,946671.7969411563
215,53327.90311831883,-2.9137383381192588,946670.8514727675
216,53325.88181750601,8.736257826044204,946674.0341697432
217,53322.4815895891,5.721550843774554,946670.5494400719
218,53329.275291255166,4.632512466820977,946678.5838005603
219,53333.000965248444,-8.092754606383236,946673.3478485629
220,53325.729486937285,-5.05341766348432,946669.1946673212
221,53322.04350854971,-2.8602321074572745,946674.2876919945
222,53320.78604808872,4.067078916696994,946675.7072674483
223,53332.01448925847,-1.2442014223993998,946676.2763074178
224,53315.6066107082,1.9017408487062823,946679.089501118
225,53318.68375970836,-1.6512885621048017,946675.993227571
226,53322.97608326752,-3.1907399771927496,946672.6361485309
227,53321.393629660306,-1.0451356854521439,946674.8120363998
228,53325.207337443724,13.416775089706242,946671.926436717
229,53324.95649838446,-11.253690707149428,946672.1555910382
230,53319.63176215208,-2.1125608492076045,946670.6920085984
231,53324.68212540353,3.470532742354043,946681.6277698351
232,53336.082380463966,0.7752412107812345,946681.4770286428
233,53320.45452753986,8.11673604756266,946670.96267541
234,53328.32718855143,-3.4104675591558706,946674.7518301909
235,53331.4795929989,1.74862335636606,946668.5693714218
236,53330.92639471355,0.9013240559429679,946665.8311974768
237,53320.392984754064,3.2813386636255384,946672.3919868135
238,53332.814511309916,2.3076226041125345,946670.1695884065
239,53326.38731427258,0.45290257614669543,946673.8517554213
240,53328.702820981875,5.473873989681976,946672.9764500622
241,53324.1811573303,-1.946641607150284,946673.2615066305
242,53318.21122050185,2.285482360129781,946671.4541560515
243,53323.51593063097,-1.3677078757021242,946670.1265963899
244,53322.92040174375,0.8260028389983269,946677.2646847365
245,53324.586848676496,0.3602695175867133,946683.2206412288
246,53323.201833977284,1.2877926153066046,946673.9349443498
247,53330.915905042704,-1.319750122144908,946678.8917662344
248,53314.111798221136,-7.645797111302627,946681.7434358422
249,53334.21018685244,0.3257035140314974,946670.4240425071
250,53324.9546391622,11.480032891740573,946673.4097820261
251,53325.41463829529,-1.9979252796675246,946676.3853067664
252,53327.62236448982,2.1760256474052704,946674.7684081332
253,53320.38962759884,7.2351766695502535,946678.941735027
254,53337.450676197375,-3.7920633802966064,946666.5908929976
255,53323.98840719526,-5.018930037166612,946677.1643653286
256,53325.141358754554,-3.7502909666111357,946685.8741980594
257,53325.64122328977,-5.526804651643465,946667.0136652371
258,53326.4238141327,1.5881865665174733,946681.3785903255
259,53329.038093409894,4.783258371815473,946676.4423324455
260,53322.12808052257,-0.08148449284647097,946675.4345081565
261,53323.49864920198,0.26634766368509233,946676.6775808729
262,53320.327780255226,-2.0606374823439193,946678.1809820578
263,53327.978218455886,-1.4732240379187385,946674.8242880742
264,53324.82067578104,-3.835884456070346,946669.2641850719
265,53328.55067969526,6.074037046852871,946675.7342848342
266,53332.7028800408,4.394021363908704,946674.9819347144
267,53328.3895521768,-5.28740427452148,946674.2851764881
268,53330.018685398696,-3.590884240456258,946677.0832327117
269,53322.97272748967,1.0716941269925035,946672.3665814879
270,53330.08786466356,5.168059257886041,946670.3286627233
271,53329.29447062647,4.773591096738463,946677.4987940367
272,53333.66752219137,-3.2173457374683085,946676.801280525
273,53329.94683560419,4.6711340763211995,946674.9641525159
274,53328.4438920841,7.3222196893002796,946669.5419269629
275,53331.36778632489,-3.103934488383739,946671.1860753263
276,53318.797880510305,0.9812194647389306,946675.4803998535
277,53332.210684109676,5.296706466213892,946672.1465059835
278,53330.27226245737,2.507193724024883,946678.267180532
